esac_id,relationship,end_date,last_reviewed,data_url,members
aip2024tib,,2026-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vR3I7WD-wMJfVblBeZDPSEynACNE-yKHWOWIFa8HjKiXP3iAzswfn7iUnoLQw1MY7u5mnhiBlyqUY53/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich
aps2025tib,,2028-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vSShIzSxtXvvHO4igSVNMeLXGPQVXOm1VcDfi7uRgrAtULsV-Bx_6MCif6WRMo8cJ4VJh9kK4YVWhhb/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-munich;uni-stuttgart
els2023deal,,2028-12-31,2026-06-02,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ4WW4nOZMM9GLBd0SXPOKm0NPrQUhE8MMfGEQheL56MxXZsizPY-Xd24Jpd858ToZAXqicNGdmRzMf/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
eme2026zbw,Premier,2028-12-31,2026-05-07,https://docs.google.com/spreadsheets/d/e/2PACX-1vSRt0FwYwqMd1NV6LKjW9D_yPr5QLB27gH34RiL46Ro9b9e4S88vj2ADq0v71U395if4uEb9adxdKge/pub?gid=684626521&single=true&output=csv,leibniz-hannover;tu-munich
hogrefe2024gac,,2026-12-31,2026-02-20,https://docs.google.com/spreadsheets/d/e/2PACX-1vSY157jI3y9w1umCNDk1qzjbzU0tdsaLdOJ-TeGMVL2acT43rFU_UdQKaaBuu5nNL1UaAolMFjlocOc/pub?gid=684626521&single=true&output=csv,leibniz-hannover;tu-braunschweig;tu-darmstadt;tu-dresden
iop2026tib,,2028-12-31,2026-06-11,https://docs.google.com/spreadsheets/d/e/2PACX-1vS8BaUlp4XH_rqB0eQQz_PE7jgUj1l94ejqEc_bxirWbDv1JYzErJm3cU93rrhU5WLCAIPudiATKpQE/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
opg2023tib,,2026-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vRorBEI-wguOWyBbHF8mWZlCO2sDxjLFUYY0IM4G6-RpXuW7H7DafkdfntIMzJoKtjd1Vuc8fZ5JZQq/pub?gid=684626521&single=true&output=csv,leibniz-hannover;uni-stuttgart
rsc2024tib,,2027-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vTOG5wQkOyBKLy3-yrnj74gVIhVGvgBaoFmVWwMWcsAYBP7BPZ8W4loyvaki-nK_kji66As8OhtHHo8/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart
sn2024deal,,2028-12-31,2026-06-04,https://docs.google.com/spreadsheets/d/e/2PACX-1vSTnXIQ9sXzkETUdAB9xwrgxa2lWxjfB4e7m7U6_xP_H4aTUviHVMdaa2rgVlrRBdhn7G_68p_r2CtT/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
sn2025gac,,2028-12-31,2026-06-15,https://docs.google.com/spreadsheets/d/e/2PACX-1vR3zMq6LTogcP7jElE5E60F-QLwcBLgfZqDzX9_bSpBCAWtBHzvPkSEZBHWEr6CipenfhcuSYuKZdsT/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-munich;uni-stuttgart
spie2024tib,,2026-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlvLIPWDV5jgZ7UiYypRHuuOtfGeHxR4Wd7gXdANrTbnj0xcbM18mbSYu2-Dci31BoiWR9pkkKFFOp/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;tu-dresden;uni-stuttgart
tf2024zbw,,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtONT2327w3_yKoRkj9XwFrvzjQ49LAKsdNtCIayxexNPYZdDdVkSbuKkQ_1diG6vdOFs_AyvY0gqS/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
ttp2024tib,,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vTnAwtIdmAE9dlBWJMvgV8shgj_BkmDUgwAQ_yCs_zV_mN5cw9mJjxDvp00-yWWAYxKpGNmrIoh6MPD/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;uni-stuttgart
wiley2024deal,,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwDMte3KF7yXk6M3skE4PNikV9sXUgTfTlLZgSbgy3Py-CLpYq69HpnCmYIbuhI8V5oLFHdPphEcd4/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart
