title,eissn,pissn,first_seen,last_seen,esac_id,data_url,members_slug,members_ror
ACM AI Letters,3068-8590,,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Computing Surveys,1557-7341,0360-0300,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Journal of Data Science,3069-3497,,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Journal on Autonomous Transportation Systems,2833-0528,,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Journal on Computing and Sustainable Societies,2834-5533,,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Journal on Emerging Technologies in Computing Systems,1550-4840,1550-4832,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Journal on Responsible Computing,2832-0565,,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Transactions on AI Security and Privacy,3068-3564,,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Transactions on AI for Science,3066-4438,,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Transactions on Accessible Computing,1936-7236,1936-7228,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Transactions on Algorithms,1549-6333,1549-6325,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
ACM Transactions on Applied Perception,1544-3965,1544-3558,2026-05-13,,acm2021hebis,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
