esac_id,relationship,ca_only,end_date,last_reviewed,data_url,members_slug,members_ror
acm2021hebis,,yes,2028-12-31,2026-05-13,https://docs.google.com/spreadsheets/d/e/2PACX-1vTr7mvF3iY1Boo_c9Te6LKRAytafqRZmrImJyYvzScQ9Q3iVPcmzntXIBZUUzWHNDkJBMgHBZrmJ-AK/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;03v4gjf40;03wf51b65;04aj4c181;04t3en479;04xfq0f34;05n911h24
aip2024tib,,yes,2026-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vR3I7WD-wMJfVblBeZDPSEynACNE-yKHWOWIFa8HjKiXP3iAzswfn7iUnoLQw1MY7u5mnhiBlyqUY53/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich,010nsgg66;02kkvpp62;0304hq317;03wf51b65;042aqky30;04aj4c181;04t3en479;05n911h24
aps2025tib,,yes,2028-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vSShIzSxtXvvHO4igSVNMeLXGPQVXOm1VcDfi7uRgrAtULsV-Bx_6MCif6WRMo8cJ4VJh9kK4YVWhhb/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
compbio2024zbmed,,yes,2026-12-31,2026-05-15,https://docs.google.com/spreadsheets/d/e/2PACX-1vQHEb8rb_KrgV2ajpc2N2cgnAA2umnujzsik39CvaewV0ujY4IkE00qBB0YhFrQtY0LZXdWTiYIEmM9/pub?gid=684626521&single=true&output=csv,rwth-aachen;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,02kkvpp62;03wf51b65;04vnq7t77;04xfq0f34;05n911h24
els2023deal,,yes,2028-12-31,2026-06-02,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ4WW4nOZMM9GLBd0SXPOKm0NPrQUhE8MMfGEQheL56MxXZsizPY-Xd24Jpd858ToZAXqicNGdmRzMf/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
hogrefe2024gac,,yes,2026-12-31,2026-02-20,https://docs.google.com/spreadsheets/d/e/2PACX-1vSY157jI3y9w1umCNDk1qzjbzU0tdsaLdOJ-TeGMVL2acT43rFU_UdQKaaBuu5nNL1UaAolMFjlocOc/pub?gid=684626521&single=true&output=csv,leibniz-hannover;tu-braunschweig;tu-darmstadt;tu-dresden,010nsgg66;0304hq317;03wf51b65;042aqky30;04aj4c181;05n911h24
iop2026tib,,yes,2028-12-31,2026-06-11,https://docs.google.com/spreadsheets/d/e/2PACX-1vS8BaUlp4XH_rqB0eQQz_PE7jgUj1l94ejqEc_bxirWbDv1JYzErJm3cU93rrhU5WLCAIPudiATKpQE/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
microbio2025zbmed,,yes,2027-12-31,2026-05-15,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnS-zfqAbzNfKfokxfKKT7qDxsV-dbqE2BjFSOs1nr3qeCiG4oicOlwe-5ezt7GOBiYUjy2IRRlxLS/pub?gid=684626521&single=true&output=csv,kit;tu-darmstadt;tu-munich,02kkvpp62;04t3en479;05n911h24
portpress2025tib,,yes,2027-12-03,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vQO20OxXCfbabpDPGuIzdGs2eKScUQ4TXhnmvyo5-mYlfA5s1xUFVdYJwnqijsNJkI1uSaF4NsOYFdb/pub?gid=684626521&single=true&output=csv,tu-darmstadt,05n911h24
rup2024zbmed,,yes,2026-12-31,2026-05-15,https://docs.google.com/spreadsheets/d/e/2PACX-1vSRNJyOIf2_QOlBdqENQiT4zSf2ci5qv9oESAy9Dr9ks-qpDx6QhNfIt0Ap1YSN3EsyIXKAmTQSFBAP/pub?gid=684626521&single=true&output=csv,tu-darmstadt;tu-dresden,03wf51b65;05n911h24
sn2024deal,,yes,2028-12-31,2026-06-04,https://docs.google.com/spreadsheets/d/e/2PACX-1vSTnXIQ9sXzkETUdAB9xwrgxa2lWxjfB4e7m7U6_xP_H4aTUviHVMdaa2rgVlrRBdhn7G_68p_r2CtT/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
tf2024zbw,,yes,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtONT2327w3_yKoRkj9XwFrvzjQ49LAKsdNtCIayxexNPYZdDdVkSbuKkQ_1diG6vdOFs_AyvY0gqS/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
wiley2024deal,,yes,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwDMte3KF7yXk6M3skE4PNikV9sXUgTfTlLZgSbgy3Py-CLpYq69HpnCmYIbuhI8V5oLFHdPphEcd4/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
